window,k,strategy,split,n,mean_block_rate,median_block_rate
time:24h,1,followers,nonrumor,1049,0.0789,0.0
time:24h,1,outdegree_obs,all,2336,0.093,0.0093
time:24h,1,outdegree_obs,rumor,1287,0.0898,0.0094
time:24h,1,outdegree_obs,nonrumor,1049,0.0969,0.0088
time:24h,1,greedy_oracle,all,2336,0.1691,0.0909
time:24h,1,greedy_oracle,rumor,1287,0.1793,0.1053
time:24h,1,greedy_oracle,nonrumor,1049,0.1565,0.069
time:24h,5,random,all,2336,0.0128,0.0
time:24h,5,random,rumor,1287,0.0192,0.0021
time:24h,5,random,nonrumor,1049,0.005,0.0
time:24h,5,earliest,all,2336,0.0216,0.0
time:24h,5,earliest,rumor,1287,0.0335,0.0
time:24h,5,earliest,nonrumor,1049,0.007,0.0
time:24h,5,followers,all,2336,0.1189,0.023
time:24h,5,followers,rumor,1287,0.1157,0.0241
time:24h,5,followers,nonrumor,1049,0.1228,0.0208
time:24h,5,outdegree_obs,all,2336,0.1482,0.05
time:24h,5,outdegree_obs,rumor,1287,0.1487,0.0568
time:24h,5,outdegree_obs,nonrumor,1049,0.1476,0.0417
time:24h,5,greedy_oracle,all,2336,0.2915,0.2029
time:24h,5,greedy_oracle,rumor,1287,0.3257,0.25
time:24h,5,greedy_oracle,nonrumor,1049,0.2495,0.1538
time:24h,10,random,all,2336,0.0237,0.003
time:24h,10,random,rumor,1287,0.0347,0.0085
time:24h,10,random,nonrumor,1049,0.0102,0.0
time:24h,10,earliest,all,2336,0.0323,0.0
time:24h,10,earliest,rumor,1287,0.0494,0.0
time:24h,10,earliest,nonrumor,1049,0.0112,0.0
time:24h,10,followers,all,2336,0.1372,0.0377
time:24h,10,followers,rumor,1287,0.1367,0.0417
time:24h,10,followers,nonrumor,1049,0.1378,0.0338
time:24h,10,outdegree_obs,all,2336,0.1664,0.0709
time:24h,10,outdegree_obs,rumor,1287,0.1705,0.0792
